id_playlist,id_talk
0,e8dc3fb78601eda527258b55b58250f4
0,311063b13ba8262730f7c17c0c6c0253
0,79564f003eed56162988b6d648388d3b
0,8c1fad5ce0dab8908dee527f88697ce2
1,8d2005ec35280deb6a438dc87b225f89
1,b3072cd11f40eb57fd259555264476c6
1,4adc9fee977fa04c357ed4c9b52aa3cc
1,f5ae6143fa79ba55deb5e9e720b4c681
1,cac248b0da47c9e5f7ee15c6a33da68a
1,83f4cf1b0fe94ba956f511803045c29c
2,7a756921752b69467199090205bc34c5
2,3030c7b400042cc618d166cfcb2e2a49
2,860a90e8e36b7082b0a0f6eeb20157b0
2,1ffd4ddeea3bd9e7f144fb82512d5460
2,319701a9243a65a5232f5de16c4bb5cf
2,0cdccbb0c544e4909e1b4716f52f2280
3,ba54500eba96096b0cb825e86443825a
3,db23fcd41cf1d29973d99b3e40e76e31
3,63c86a14825aa35326adfc8e7734a5c3
3,6f621f5283ff22ef866fd68ff47f97b5
3,d564abb00bb146ff75c7ed2d9b48aadc
4,fa2133f1e5a865a5a5044777824fe147
4,6e67b6ad4cc6b420fe86fb975925fb32
4,5be32167a2dcc08470287a6029b7e4c5
4,bbef254b3f90c8278f977ea8121a57d2
4,1ffd4ddeea3bd9e7f144fb82512d5460
4,a66be2eb55146d1a3d3b260e7b68a854
4,9477b810e01661d29601d8c572b281bd
5,def79f9a3f3a0cb22484dcc758adc6a4
5,897bcd0a20078450c29078ec814d4b64
5,f8a5e537042d053d1a40eaee384485f4
5,4206a35aab53cc14eba41ff7b522d512
5,eec0cced1e161afa06f2b960172f594f
6,d3b4e1203912771d309ca2380e2499b5
6,a3435555d268a43bb92e988155368223
6,fe84d0cadc3c4223f4c3b591b8c98d4e
6,26dc8d09d322b82a33bc62e127431647
7,dc0ed4137fb333390def20ec1672cd55
7,f17c648819219e85999cc812ccd5f29f
7,82df7f42f5dcc1d7bd69c86c27218999
7,82df7f42f5dcc1d7bd69c86c27218999
8,1279f3ed8ea4db5180801add2a44fc32
8,b2e4ec7fe28f26651027c1c0f0edd724
8,a7a08aa7bfd02f39ff57ae90010289df
8,a4d7b980480159fa42f4279761da6c26
8,197bee94737f5474ae04d4a91c83d152
9,225afe0593a46fd633926dc793889a0d
9,8d2005ec35280deb6a438dc87b225f89
9,79c85fbbc9a732c0bfafd3276462cdde
9,7ec449bbdb177f83381c4af03d1c83c5

